Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2019);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
407;200147103;"Literacy";journal;"17414350";0,573;Q2;24;40;67;1464;90;56;1,37;36,60;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2005-2020";"Language and Linguistics (Q1); Education (Q2)"
408;17900156731;"Young Exceptional Children";journal;"10962506";0,571;Q2;16;27;58;724;42;44;1,19;26,81;United States;Northern America;"SAGE Publications Inc.";"1998-2020";"Education (Q2); Developmental and Educational Psychology (Q3)"
409;89175;"Anthropology and Education Quarterly";journal;"01617761, 15481492";0,569;Q2;44;36;96;1714;95;84;0,90;47,61;United States;Northern America;"Wiley-Blackwell";"1977-2020";"Anthropology (Q1); Education (Q2)"
410;5600155537;"Intercultural Education";journal;"14675986, 14698439";0,567;Q2;16;40;128;1709;141;120;1,24;42,73;United Kingdom;Western Europe;"Routledge";"2010-2020";"Cultural Studies (Q1); Education (Q2)"
411;144741;"International Journal of Educational Management";journal;"0951354X";0,567;Q2;47;159;245;8422;493;240;1,60;52,97;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1987-2020";"Education (Q2); Organizational Behavior and Human Resource Management (Q2)"
412;17700155807;"Journal of Educators Online";journal;"1547500X";0,567;Q2;13;27;61;1040;81;61;1,07;38,52;United States;Northern America;"Matthew Elbeck";"2009-2020";"Education (Q2); E-learning (Q2)"
413;17539;"Academic Psychiatry";journal;"15457230, 10429670";0,566;Q2;40;162;594;2615;635;437;1,45;16,14;United States;Northern America;"Springer International Publishing AG";"1989-2020";"Education (Q2); Medicine (miscellaneous) (Q2); Psychiatry and Mental Health (Q2)"
414;18676;"Technology in Society";journal;"0160791X";0,566;Q2;47;105;177;7063;529;175;3,08;67,27;Netherlands;Western Europe;"Elsevier Ltd.";"1979-2020";"Business and International Management (Q2); Education (Q2); Human Factors and Ergonomics (Q2); Sociology and Political Science (Q2)"
415;200147107;"Communication Reports";journal;"08934215";0,565;Q2;19;14;44;504;57;44;1,21;36,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988-1995, 2005-2020";"Language and Linguistics (Q1); Linguistics and Language (Q1); Communication (Q2); Education (Q2)"
416;14420;"Journal of Career Development";journal;"08948453, 15733548";0,564;Q2;41;104;128;5502;252;113;1,95;52,90;United States;Northern America;"SAGE Publications Inc.";"1972-1973, 1975-2020";"Education (Q2); Organizational Behavior and Human Resource Management (Q2); Psychology (miscellaneous) (Q2); Applied Psychology (Q3)"
417;19300157017;"Revista de Educacion";journal;"1988592X, 00348082";0,562;Q2;24;28;91;1365;85;90;0,90;48,75;Spain;Western Europe;"Ministry Education and Science";"2008-2020";"Education (Q2)"
418;144736;"Innovative Higher Education";journal;"07425627, 15731758";0,557;Q2;37;41;111;1495;161;93;1,48;36,46;Netherlands;Western Europe;"Springer Netherlands";"1983-2002, 2004-2020";"Education (Q2)"
419;6400153173;"Improving Schools";journal;"13654802, 14757583";0,556;Q2;21;24;64;1076;110;55;1,25;44,83;United Kingdom;Western Europe;"SAGE Publications Ltd";"1998-2020";"Education (Q2)"
420;4700152404;"Journal of Ethnic and Cultural Diversity in Social Work";journal;"15313204";0,553;Q2;27;40;92;1862;127;68;2,04;46,55;United States;Northern America;"Routledge";"2000-2020";"Education (Q2); Health (social science) (Q2); Social Work (Q2)"
421;13457;"Learning and Motivation";journal;"00239690, 10959122";0,552;Q2;42;23;81;1012;109;80;1,10;44,00;United States;Northern America;"Academic Press Inc.";"1970-2020";"Education (Q2); Health (social science) (Q2); Developmental and Educational Psychology (Q3); Experimental and Cognitive Psychology (Q3); Neuropsychology and Physiological Psychology (Q3)"
422;14279;"Educational Research";journal;"00131881, 14695847";0,550;Q2;49;28;101;1519;179;96;1,74;54,25;United Kingdom;Western Europe;"Routledge";"1958-2020";"Education (Q2)"
423;19400158465;"Asia Pacific Journal of Education";journal;"02188791, 17426855";0,549;Q2;21;51;122;2818;208;116;1,28;55,25;United Kingdom;Western Europe;"Routledge";"2008-2020";"Education (Q2)"
424;17600155115;"Australian Journal of Teacher Education";journal;"1835517X, 03135373";0,549;Q2;28;64;283;3327;378;283;1,14;51,98;Australia;Pacific Region;"Social Science Press";"2008-2019";"Education (Q2)"
425;5700183394;"First Language";journal;"17402344, 01427237";0,548;Q2;38;41;95;2493;111;95;1,03;60,80;United Kingdom;Western Europe;"SAGE Publications Ltd";"1980-1984, 1986-2020";"Language and Linguistics (Q1); Linguistics and Language (Q1); Education (Q2)"
426;19600161815;"Australian Journal of Environmental Education";journal;"2049775X, 08140626";0,546;Q2;18;17;60;916;69;48;0,97;53,88;United Kingdom;Western Europe;"Cambridge University Press";"1984-1999, 2001-2020";"Education (Q2); Environmental Science (miscellaneous) (Q2)"
427;5800161654;"Educational Forum";journal;"19388098, 00131725";0,544;Q2;25;33;113;995;88;93;0,85;30,15;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1936-2020";"Education (Q2)"
428;144643;"Learning Organization";journal;"09696474";0,540;Q2;54;55;110;2716;275;101;2,81;49,38;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1994-2020";"Education (Q2); Organizational Behavior and Human Resource Management (Q2)"
429;19709;"Education Economics";journal;"09645292, 14695782";0,539;Q2;33;42;111;1849;131;108;1,16;44,02;United Kingdom;Western Europe;"Routledge";"1993-2020";"Economics and Econometrics (Q2); Education (Q2)"
430;4100151705;"Informatics in Education";journal;"16485831";0,539;Q2;18;20;51;1039;134;51;2,03;51,95;Lithuania;Eastern Europe;"Institute of Mathematics and Informatics";"2006-2019";"Communication (Q2); Computer Science Applications (Q2); Education (Q2)"
431;21100204917;"Statistics Education Research Journal";journal;"15701824";0,539;Q2;11;15;88;463;59;84;0,81;30,87;New Zealand;Pacific Region;"International Association for Statistical Education (IASE)";"2011-2019";"Education (Q2); Statistics and Probability (Q3)"
432;17730;"Asian Journal of Communication";journal;"01292986, 17420911";0,538;Q2;25;29;107;1625;147;105;1,17;56,03;United States;Northern America;"Routledge";"1990-2020";"Communication (Q2); Education (Q2)"
433;19700200806;"American Journal of Distance Education";journal;"08923647, 15389286";0,537;Q2;15;26;82;825;91;61;1,26;31,73;United States;Northern America;"Taylor and Francis Ltd.";"1987-1996, 1998-1999, 2001, 2008-2020";"Computer Science Applications (Q2); Education (Q2)"
434;5700168957;"Educational Action Research";journal;"17475074, 09650792";0,535;Q2;34;80;145;3427;237;130;1,83;42,84;United Kingdom;Western Europe;"Routledge";"1993-2020";"Education (Q2)"
435;19700200832;"Technology, Knowledge and Learning";journal;"22111662, 22111670";0,534;Q2;17;60;97;2955;178;79;2,37;49,25;United States;Northern America;"Springer Science + Business Media";"2011-2020";"Engineering (miscellaneous) (Q1); Computational Theory and Mathematics (Q2); Computer Science Applications (Q2); Education (Q2); Human-Computer Interaction (Q2); Mathematics (miscellaneous) (Q2); Theoretical Computer Science (Q2)"
436;18700156718;"Zeitschrift fur Erziehungswissenschaft";journal;"18625215, 1434663X";0,533;Q2;18;75;169;4196;134;151;0,90;55,95;Germany;Western Europe;"VS Verlag fur Sozialwissenschaften";"2008-2020";"Education (Q2)"
437;21100898027;"Journal on Mathematics Education";journal;"24070610, 20878885";0,532;Q2;14;35;57;1104;180;57;2,89;31,54;Indonesia;Asiatic Region;"Sriwijaya University";"2010-2020";"Education (Q2); Mathematics (miscellaneous) (Q2)"
438;21100228034;"Journal of Student Affairs Research and Practice";journal;"19496605";0,530;Q2;11;57;103;2478;94;101;0,74;43,47;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2012-2020";"Education (Q2)"
439;19200156951;"English Teaching";journal;"11758708";0,529;Q2;19;41;90;1767;74;81;1,02;43,10;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2014, 2016-2019";"Language and Linguistics (Q1); Linguistics and Language (Q1); Education (Q2)"
440;5700166357;"Social Work Education";journal;"14701227, 02615479";0,529;Q2;35;111;219;4959;291;206;1,23;44,68;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-2020";"Education (Q2); Social Sciences (miscellaneous) (Q2); Social Work (Q2)"
441;19300156930;"Revista Complutense de Educacion";journal;"11302496, 19882793";0,528;Q2;11;65;220;2631;184;220;0,66;40,48;Spain;Western Europe;"Universidad Complutense de Madrid";"2009-2020";"Education (Q2)"
442;21100887525;"New Educator";journal;"15499243";0,527;Q2;17;24;73;850;59;60;0,74;35,42;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2020";"Education (Q2); Sociology and Political Science (Q2)"
443;19700201422;"Computer Science Education";journal;"17445175, 08993408";0,526;Q2;29;19;47;1064;121;42;2,81;56,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1988-1995, 1999, 2002, 2004-2020";"Computer Science (miscellaneous) (Q1); Education (Q2)"
444;5700177114;"Language Awareness";journal;"09658416";0,524;Q2;33;18;61;897;65;58;1,13;49,83;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1992-2020";"Language and Linguistics (Q1); Linguistics and Language (Q1); Education (Q2)"
445;21100331609;"Australian Journal of Indigenous Education";journal;"13260111, 20497784";0,523;Q2;20;44;72;1986;78;54;1,11;45,14;United Kingdom;Western Europe;"Cambridge University Press";"1996-2020";"Anthropology (Q1); Education (Q2)"
446;5700155526;"Research in Education";journal;"00345237";0,521;Q2;13;32;62;1688;55;51;1,09;52,75;United Kingdom;Western Europe;"SAGE Publications Inc.";"2007-2019";"Education (Q2)"
447;19700188267;"Accounting Education";journal;"14684489, 09639284";0,520;Q2;35;31;88;1775;175;83;2,09;57,26;United Kingdom;Western Europe;"Routledge";"1992-1996, 1998, 2000-2020";"Accounting (Q2); Education (Q2)"
448;19469;"Journal of Early Childhood Teacher Education";journal;"17455642, 10901027";0,520;Q2;18;39;71;1919;72;59;1,10;49,21;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990-2020";"Education (Q2); Social Sciences (miscellaneous) (Q2)"
449;16300154723;"Research Studies in Music Education";journal;"1321103X, 18345530";0,517;Q2;25;44;40;2650;50;36;1,33;60,23;United Kingdom;Western Europe;"SAGE Publications Ltd";"1993-2020";"Music (Q1); Education (Q2)"
450;21100372549;"Teaching English with Technology";journal;"16421027";0,517;Q2;6;23;67;797;91;64;1,53;34,65;Poland;Eastern Europe;"IATEFL Poland. Computer Special Interest Group";"2014-2020";"Language and Linguistics (Q1); Linguistics and Language (Q1); Education (Q2)"
451;100147341;"International Journal of Research and Method in Education";journal;"17437288, 1743727X";0,516;Q2;26;60;100;3021;158;91;1,51;50,35;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2020";"Education (Q2)"
452;5800207390;"Clinical Supervisor, The";journal;"07325223, 1545231X";0,514;Q2;26;24;52;1270;86;50;1,66;52,92;United States;Northern America;"Routledge";"1983-2020";"Clinical Psychology (Q2); Education (Q2); Psychiatry and Mental Health (Q2)"
453;5800207405;"Journal of Early Childhood Research";journal;"1476718X";0,512;Q2;27;35;89;1657;133;87;1,45;47,34;United Kingdom;Western Europe;"SAGE Publications Ltd";"2003-2020";"Education (Q2); Health (social science) (Q2); Developmental and Educational Psychology (Q3)"
454;21100863126;"International Journal of Work-Integrated Learning";journal;"25381032";0,511;Q2;12;30;75;1198;133;75;1,79;39,93;New Zealand;Pacific Region;"International Journal of Work-Integrated Learning";"2018-2019";"Education (Q2)"
455;20748;"Educational Media International";journal;"14695790, 09523987";0,509;Q2;36;20;67;863;95;66;1,41;43,15;United Kingdom;Western Europe;"Routledge";"1978-1979, 1987-2020";"Communication (Q2); Education (Q2)"
456;19700201403;"Global Journal of Engineering Education";journal;"13283154";0,509;Q2;11;36;121;587;109;113;1,03;16,31;Australia;Pacific Region;"World Institute for Engineering and Technology Education (WIETE)";"2010-2020";"Computer Science (miscellaneous) (Q1); Education (Q2)"
457;21100398003;"International Journal of Information and Learning Technology";journal;"20564899, 20564880";0,509;Q2;26;37;79;1679;174;76;2,39;45,38;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2015-2020";"Computer Networks and Communications (Q2); Computer Science Applications (Q2); Education (Q2)"
458;19900191979;"Journal of Music Teacher Education";journal;"19450079, 10570837";0,509;Q2;16;30;71;887;50;60;0,95;29,57;United States;Northern America;"Sage Publications";"1991-2020";"Music (Q1); Education (Q2)"
459;145735;"Language Learning Journal";journal;"09571736";0,509;Q2;23;72;162;3645;181;106;1,49;50,63;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1990-2020";"Language and Linguistics (Q1); Linguistics and Language (Q1); Education (Q2)"
460;21100456858;"Aula Abierta";journal;"02102773, 23412313";0,503;Q2;6;15;13;627;22;13;0,00;41,80;Spain;Western Europe;"Elsevier Doyma";"2014-2016, 2019";"Education (Q2)"
461;19900191760;"Journal of Peace Education";journal;"17400201, 1740021X";0,503;Q2;12;22;55;1252;49;48;0,79;56,91;United Kingdom;Western Europe;"Routledge";"2010-2020";"Education (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)"
462;52557;"International Journal of Nursing Education Scholarship";journal;"1548923X";0,502;Q2;37;36;59;917;70;59;1,00;25,47;Germany;Western Europe;"Walter de Gruyter GmbH";"2003-2020";"Education (Q2); Nursing (miscellaneous) (Q2)"
463;6400153174;"Journal of Transformative Education";journal;"15527840, 15413446";0,502;Q2;28;24;64;950;89;52;1,94;39,58;United States;Northern America;"SAGE Publications Inc.";"2003-2020";"Education (Q2)"
464;19700188159;"Mentoring and Tutoring: Partnership in Learning";journal;"14699745, 13611267";0,502;Q2;33;34;102;1448;126;84;1,09;42,59;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2020";"Education (Q2)"
465;14310;"Educational Studies";journal;"03055698, 14653400";0,501;Q2;41;98;109;5097;154;102;1,30;52,01;United Kingdom;Western Europe;"Routledge";"1975-2020";"Education (Q2)"
466;24053;"College English";journal;"00100994";0,500;Q2;22;25;89;1151;73;74;0,58;46,04;United States;Northern America;"National Council of Teachers of English";"2004-2019";"Language and Linguistics (Q1); Education (Q2)"
467;21100854982;"Journal of Experiential Education";journal;"10538259, 2169009X";0,500;Q2;31;30;72;1097;193;67;2,72;36,57;United Kingdom;Western Europe;"SAGE Publications Ltd";"1996-2020";"Education (Q2)"
468;21100790930;"Proceedings - 2016 IEEE Symposium on Security and Privacy Workshops, SPW 2016";conference and proceedings;"-";0,500;-;11;0;48;0;127;41;0,00;0,00;United States;Northern America;"";"";"Artificial Intelligence; Education"
469;19700188254;"Research in Mathematics Education";journal;"17540178, 14794802";0,499;Q2;16;27;54;1028;53;47;1,13;38,07;United States;Northern America;"Routledge";"1998, 2000-2020";"Education (Q2); Mathematics (miscellaneous) (Q2)"
470;16400154714;"British Journal of Religious Education";journal;"17407931, 01416200";0,497;Q2;23;56;80;2066;105;69;1,24;36,89;United Kingdom;Western Europe;"Routledge";"1978-2020";"Religious Studies (Q1); Education (Q2)"
471;26168;"Computers and Composition";journal;"87554615";0,496;Q2;33;48;103;2214;144;90;1,58;46,13;United Kingdom;Western Europe;"Elsevier Ltd.";"1983-2020";"Computer Science (miscellaneous) (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1); Education (Q2)"
472;21100297818;"International Journal of Instruction";journal;"1694609X, 13081470";0,495;Q2;14;254;289;10356;574;283;2,02;40,77;Turkey;Middle East;"Faculty of Education, Eskisehir Osmangazi University";"2013-2020";"Education (Q2)"
473;21100210909;"Nordic Journal of Digital Literacy";journal;"1891943X, 08096724";0,489;Q2;11;3;38;121;55;32;1,50;40,33;Norway;Western Europe;"Universitetsforlaget AS";"2012-2019";"Computer Science Applications (Q2); Education (Q2); E-learning (Q2)"
474;21100455461;"Journal of International Students";journal;"21623104, 21663750";0,486;Q2;11;65;225;2908;300;209;1,19;44,74;United States;Northern America;"School of Education, University of Louisiana at Monroe";"2015-2020";"Education (Q2)"
475;21100790048;"2016 International Conference on Hardware/Software Codesign and System Synthesis, CODES+ISSS 2016";conference and proceedings;"-";0,485;-;7;0;39;0;97;37;0,00;0,00;United States;Northern America;"";"";"Computer Graphics and Computer-Aided Design; Education; Human-Computer Interaction; Media Technology"
